"","Age_x","lx","mx","lx.mx","x.lx.mx","lx.mx.e_rx","lme.r","lme.tr"
"1",0,1,0,0,0,"0 e^- 0 r",0,0
"2",1,6.2e-05,4600,0.2852,0.2852,"0.2852 e^- 1 r",0.262951826697603,0.262035147496593
"3",2,3.4e-05,8700,0.2958,0.5916,"0.2958 e^- 2 r",0.251449925691214,0.249699816954681
"4",3,2e-05,11600,0.232,0.696,"0.232 e^- 3 r",0.181831029572591,0.179936001885412
"5",4,1.55e-05,12700,0.19685,0.7874,"0.19685 e^- 4 r",0.142246668262865,0.140273465911658
"6",5,1.1e-05,12700,0.1397,0.6985,"0.1397 e^- 5 r",0.0930742962211125,0.0914632316043563
"7",6,6.5e-06,12700,0.08255,0.4953,"0.08255 e^- 6 r",0.0507080726012303,0.0496566297959189
"8",7,2e-06,12700,0.0254,0.1778,"0.0254 e^- 7 r",0.0143853493567895,0.0140379569670486
"9",8,2e-06,12700,0.0254,0.2032,"0.0254 e^- 8 r",0.0132631623108379,0.0128977493843317
"10",9,0,0,0,0,"0 e^- 9 r",0,0
